games_year,event_name,medal_id,medalist_name
1896,"Athletics Men's Marathon",4,"Edwin Harold "Teddy"" Flack""
1896,"Athletics Men's Marathon",4,"Arthur Charles Blake"
1896,"Athletics Men's Marathon",3,"Gyula Kellner"
1896,"Athletics Men's Pole Vault",2,"Albert Clinton Tyler"
1896,"Athletics Men's Pole Vault",1,"William Welles "Bill"" Hoyt""
1896,"Athletics Men's Shot Put",4,"Fritz Hofmann"
1896,"Athletics Men's Shot Put",4,"Carl Schuhmann"
1896,"Athletics Men's Shot Put",1,"Robert "Bob"" Garrett""
1896,"Athletics Men's Shot Put",4,"Alexander Viggo Jensen"
1896,"Athletics Men's Shot Put",4,"Ellery Harding Clark"
1896,"Athletics Men's Triple Jump",4,"Carl Schuhmann"
1896,"Athletics Men's Triple Jump",2,"Pierre Alexandre Tuffri"
1896,"Athletics Men's Triple Jump",4,"Fritz Hofmann"
1896,"Athletics Men's Triple Jump",4,"Alajos (Aljoz) Szokoly (-Szokol)"
1896,"Athletics Men's Triple Jump",1,"James Brendan Bennet Connolly"
1896,"Cycling Men's 10,000 metres",1,"Paul Michel Pierre Adrien Masson (-Nossam)"
1896,"Cycling Men's 10,000 metres",2,"Marie Lon Flameng"
1896,"Cycling Men's 10,000 metres",4,"Joseph Rosemeyer"
1896,"Cycling Men's 10,000 metres",3,"Felix Adolf Schmal"
1896,"Cycling Men's 100 kilometres",4,"Felix Adolf Schmal"
1896,"Cycling Men's 100 kilometres",1,"Marie Lon Flameng"
1896,"Cycling Men's 100 kilometres",4,"Bernard Wilhelm Knubel"
1896,"Cycling Men's 100 kilometres",4,"Joseph Rosemeyer"
1896,"Cycling Men's 12-Hours Race",1,"Felix Adolf Schmal"
1896,"Cycling Men's 12-Hours Race",2,"Frederick Keeping"
1896,"Cycling Men's 333 metres Time Trial",3,"Felix Adolf Schmal"
1896,"Cycling Men's 333 metres Time Trial",4,"Frederick Keeping"
1896,"Cycling Men's 333 metres Time Trial",1,"Paul Michel Pierre Adrien Masson (-Nossam)"
1896,"Cycling Men's 333 metres Time Trial",4,"Marie Lon Flameng"
1896,"Cycling Men's 333 metres Time Trial",4,"Joseph Rosemeyer"
1896,"Cycling Men's Road Race, Individual",2,"Anton Gdrich"
1896,"Cycling Men's Sprint",1,"Paul Michel Pierre Adrien Masson (-Nossam)"
1896,"Cycling Men's Sprint",3,"Marie Lon Flameng"
1896,"Cycling Men's Sprint",4,"Joseph Rosemeyer"
1896,"Fencing Men's Foil, Individual",2,"Eugne Henri Callot"
1896,"Fencing Men's Foil, Individual",1,"Eugne Henry Gravelotte"
1896,"Fencing Men's Foil, Masters, Individual",2,"Joanni Maurice Perronet"
1896,"Fencing Men's Sabre, Individual",4,"Felix Adolf Schmal"
1896,"Fencing Men's Sabre, Individual",1,"Ioannis Georgiadis"
1896,"Fencing Men's Sabre, Individual",3,"Holger Louis Nielsen"
1896,"Gymnastics Men's Horizontal Bar",2,"Alfred Flatow"
1896,"Gymnastics Men's Horizontal Bar",4,"Gustav Felix Flatow"
1896,"Gymnastics Men's Horizontal Bar",4,"Conrad Helmut Fritz Bcker"
1896,"Gymnastics Men's Horizontal Bar",4,"Desiderius "Dezs"" Wein (Boros)""
1896,"Gymnastics Men's Horizontal Bar",1,"Hermann Otto Ludwig Weingrtner"
1896,"Gymnastics Men's Horizontal Bar",4,"Fritz Richard Gustav Schuft"
1896,"Gymnastics Men's Horizontal Bar",4,"Carl Schuhmann"
1896,"Gymnastics Men's Horizontal Bar",4,"Karl Neukirch"
1896,"Gymnastics Men's Horizontal Bar",4,"Georg Otto Hilmar"
1896,"Gymnastics Men's Horizontal Bar",4,"Jules Alexis "Louis"" Zutter""
1896,"Gymnastics Men's Horizontal Bar",4,"Julius Carl Fritz Manteuffel"
1896,"Gymnastics Men's Horizontal Bar, Teams",1,"Karl Neukirch"
1896,"Gymnastics Men's Horizontal Bar, Teams",1,"Conrad Helmut Fritz Bcker"
1896,"Gymnastics Men's Horizontal Bar, Teams",1,"Hermann Otto Ludwig Weingrtner"
1896,"Gymnastics Men's Horizontal Bar, Teams",1,"Fritz Richard Gustav Schuft"
1896,"Gymnastics Men's Horizontal Bar, Teams",1,"Carl Schuhmann"
1896,"Gymnastics Men's Horizontal Bar, Teams",1,"Alfred Flatow"
1896,"Gymnastics Men's Horizontal Bar, Teams",1,"Julius Carl Fritz Manteuffel"
1896,"Gymnastics Men's Horizontal Bar, Teams",1,"Gustav Felix Flatow"
1896,"Gymnastics Men's Horizontal Bar, Teams",1,"Georg Otto Hilmar"
1896,"Gymnastics Men's Horse Vault",4,"Kristian Henrik Rudolf Sjberg"
1896,"Gymnastics Men's Horse Vault",4,"Karl Neukirch"
1896,"Gymnastics Men's Horse Vault",4,"Julius Carl Fritz Manteuffel"
1896,"Gymnastics Men's Horse Vault",4,"Georg Otto Hilmar"
1896,"Gymnastics Men's Horse Vault",1,"Carl Schuhmann"
1896,"Gymnastics Men's Horse Vault",4,"Fritz Richard Gustav Schuft"
1896,"Gymnastics Men's Horse Vault",3,"Hermann Otto Ludwig Weingrtner"
1896,"Gymnastics Men's Horse Vault",4,"Desiderius "Dezs"" Wein (Boros)""
1896,"Gymnastics Men's Horse Vault",2,"Jules Alexis "Louis"" Zutter""
1896,"Gymnastics Men's Horse Vault",4,"Gustav Felix Flatow"
1896,"Gymnastics Men's Horse Vault",4,"Conrad Helmut Fritz Bcker"
1896,"Gymnastics Men's Horse Vault",4,"Alfred Flatow"
1896,"Gymnastics Men's Parallel Bars",2,"Jules Alexis "Louis"" Zutter""
1896,"Gymnastics Men's Parallel Bars",1,"Alfred Flatow"
1896,"Gymnastics Men's Parallel Bars",4,"Carl Schuhmann"
1896,"Gymnastics Men's Parallel Bars",4,"Desiderius "Dezs"" Wein (Boros)""
1896,"Gymnastics Men's Parallel Bars",4,"Hermann Otto Ludwig Weingrtner"
1896,"Gymnastics Men's Parallel Bars",4,"Fritz Richard Gustav Schuft"
1896,"Gymnastics Men's Parallel Bars",4,"Julius Carl Fritz Manteuffel"
1896,"Gymnastics Men's Parallel Bars",4,"Gustav Felix Flatow"
1896,"Gymnastics Men's Parallel Bars",4,"Karl Neukirch"
1896,"Gymnastics Men's Parallel Bars",4,"Georg Otto Hilmar"
1896,"Gymnastics Men's Parallel Bars",4,"Conrad Helmut Fritz Bcker"
1896,"Gymnastics Men's Parallel Bars, Teams",1,"Karl Neukirch"
1896,"Gymnastics Men's Parallel Bars, Teams",1,"Carl Schuhmann"
1896,"Gymnastics Men's Parallel Bars, Teams",1,"Hermann Otto Ludwig Weingrtner"
1896,"Gymnastics Men's Parallel Bars, Teams",1,"Julius Carl Fritz Manteuffel"
1896,"Gymnastics Men's Parallel Bars, Teams",3,"Dimitrios Loundras"
1896,"Gymnastics Men's Parallel Bars, Teams",1,"Conrad Helmut Fritz Bcker"
1896,"Gymnastics Men's Parallel Bars, Teams",1,"Fritz Richard Gustav Schuft"
1896,"Gymnastics Men's Parallel Bars, Teams",1,"Gustav Felix Flatow"
1896,"Gymnastics Men's Parallel Bars, Teams",1,"Georg Otto Hilmar"
1896,"Gymnastics Men's Parallel Bars, Teams",1,"Alfred Flatow"
1896,"Gymnastics Men's Pommelled Horse",4,"Julius Carl Fritz Manteuffel"
1896,"Gymnastics Men's Pommelled Horse",4,"Desiderius "Dezs"" Wein (Boros)""
1896,"Gymnastics Men's Pommelled Horse",4,"Gustav Felix Flatow"
1896,"Gymnastics Men's Pommelled Horse",2,"Hermann Otto Ludwig Weingrtner"
1896,"Gymnastics Men's Pommelled Horse",4,"Carl Schuhmann"
1896,"Gymnastics Men's Pommelled Horse",4,"Georg Otto Hilmar"
1896,"Gymnastics Men's Pommelled Horse",4,"Alfred Flatow"
1896,"Gymnastics Men's Pommelled Horse",4,"Karl Neukirch"
1896,"Gymnastics Men's Pommelled Horse",4,"Fritz Richard Gustav Schuft"
1896,"Gymnastics Men's Pommelled Horse",1,"Jules Alexis "Louis"" Zutter""
1896,"Gymnastics Men's Pommelled Horse",4,"Conrad Helmut Fritz Bcker"
1896,"Gymnastics Men's Rings",2,"Hermann Otto Ludwig Weingrtner"
1896,"Gymnastics Men's Rings",4,"Conrad Helmut Fritz Bcker"
1896,"Gymnastics Men's Rings",4,"Gustav Felix Flatow"
1896,"Gymnastics Men's Rings",4,"Alfred Flatow"
1896,"Gymnastics Men's Rings",4,"Carl Schuhmann"
1896,"Gymnastics Men's Rope Climbing",4,"Launceston Elliot"
1896,"Gymnastics Men's Rope Climbing",2,"Thomas Xenakis"
1896,"Gymnastics Men's Rope Climbing",3,"Fritz Hofmann"
1896,"Gymnastics Men's Rope Climbing",4,"Alexander Viggo Jensen"
1896,"Shooting Men's Free Pistol, 30 metres",2,"Holger Louis Nielsen"
1896,"Shooting Men's Free Pistol, 30 metres",1,"Sumner Paine"
1896,"Shooting Men's Free Rifle, Three Positions, 300 metres",4,"Nikolaos M. Levidis"
1896,"Shooting Men's Free Rifle, Three Positions, 300 metres",3,"Alexander Viggo Jensen"
1896,"Shooting Men's Free Rifle, Three Positions, 300 metres",4,"Anastasios Metaxas"
1896,"Shooting Men's Free Rifle, Three Positions, 300 metres",4,"Sidney Louis Walter Merlin"
1896,"Shooting Men's Military Pistol, 25 metres",4,"Holger Louis Nielsen"
1896,"Shooting Men's Military Pistol, 25 metres",1,"John Bryant Paine"
1896,"Shooting Men's Military Pistol, 25 metres",2,"Sumner Paine"
1896,"Shooting Men's Military Pistol, 25 metres",4,"Sidney Louis Walter Merlin"
1896,"Shooting Men's Military Rifle, 200 metres",4,"Sidney Louis Walter Merlin"
1896,"Shooting Men's Military Rifle, 200 metres",4,"Anastasios Metaxas"
1896,"Shooting Men's Military Rifle, 200 metres",4,"Eugen Stahl Schmidt"
1896,"Shooting Men's Military Rifle, 200 metres",4,"Holger Louis Nielsen"
1896,"Shooting Men's Military Rifle, 200 metres",4,"Alexander Viggo Jensen"
1896,"Shooting Men's Military Rifle, 200 metres",4,"Charles Waldstein (-Walston)"
1896,"Shooting Men's Military Rifle, 200 metres",4,"Albin Georges Lermusiaux"
1896,"Shooting Men's Muzzle-Loading Pistol, 25 metres",3,"Holger Louis Nielsen"
1896,"Shooting Men's Muzzle-Loading Pistol, 25 metres",4,"Sidney Louis Walter Merlin"
1896,"Swimming Men's 1,200 metres Freestyle",4,"Gardner Boyd Williams"
1896,"Swimming Men's 1,200 metres Freestyle",1,"Alfrd (Arnold-) Hajs (Guttmann-)"
1896,"Swimming Men's 1,200 metres Freestyle",4,"Paul Neumann (-Newman)"
1896,"Swimming Men's 100 metres Freestyle",4,"Gardner Boyd Williams"
1896,"Swimming Men's 100 metres Freestyle",2,"Otto Herschmann"
1896,"Swimming Men's 100 metres Freestyle",1,"Alfrd (Arnold-) Hajs (Guttmann-)"
1896,"Swimming Men's 500 metres Freestyle",1,"Paul Neumann (-Newman)"
1896,"Tennis Men's Doubles",3,"Edwin Harold "Teddy"" Flack""
1896,"Tennis Men's Doubles",1,"John Mary Pius Boland"
1896,"Tennis Men's Doubles",2,"Dimitrios Stephen Petrokokkinos"
1896,"Tennis Men's Doubles",1,"Friedrich Adolf "Fritz"" Traun""
1896,"Tennis Men's Doubles",2,"Demetrius Emmanuel Casdagli"
1896,"Tennis Men's Doubles",3,"George Stuart Robertson"
1896,"Tennis Men's Doubles",4,"Khios "Konstantinos"" Paspatis""
1896,"Tennis Men's Singles",4,"Dimitrios Stephen Petrokokkinos"
1896,"Tennis Men's Singles",4,"Edwin Harold "Teddy"" Flack""
1896,"Tennis Men's Singles",2,"Demetrius Emmanuel Casdagli"
1896,"Tennis Men's Singles",1,"John Mary Pius Boland"
1896,"Tennis Men's Singles",4,"Friedrich Adolf "Fritz"" Traun""
1896,"Tennis Men's Singles",3,"Momcsill Tapavicza"
1896,"Tennis Men's Singles",4,"George Stuart Robertson"
1896,"Tennis Men's Singles",3,"Khios "Konstantinos"" Paspatis""
1896,"Weightlifting Men's Unlimited, One Hand",2,"Alexander Viggo Jensen"
1896,"Weightlifting Men's Unlimited, One Hand",1,"Launceston Elliot"
1896,"Weightlifting Men's Unlimited, Two Hands",4,"Momcsill Tapavicza"
1896,"Weightlifting Men's Unlimited, Two Hands",2,"Launceston Elliot"
1896,"Weightlifting Men's Unlimited, Two Hands",4,"Carl Schuhmann"
1896,"Weightlifting Men's Unlimited, Two Hands",1,"Alexander Viggo Jensen"
1896,"Wrestling Men's Unlimited Class, Greco-Roman",1,"Carl Schuhmann"
1896,"Wrestling Men's Unlimited Class, Greco-Roman",4,"Momcsill Tapavicza"
1896,"Wrestling Men's Unlimited Class, Greco-Roman",4,"Launceston Elliot"
1900,"Archery Men's Au Chapelet, 33 metres",3,"Frdric Adolphe Petit"
1900,"Archery Men's Au Chapelet, 33 metres",2,"Victor Thibault"
1900,"Archery Men's Au Chapelet, 33 metres",1,"Gerard Theodor Hubert Van Innis"
1900,"Archery Men's Au Chapelet, 50 metres",1,"Eugne Mougin"
1900,"Archery Men's Au Chapelet, 50 metres",2,"Henri Hyacinthe Helle"
1900,"Archery Men's Au Chapelet, 50 metres",4,"Gerard Theodor Hubert Van Innis"
1900,"Archery Men's Au Cordon Dore, 33 metres",1,"Gerard Theodor Hubert Van Innis"
1900,"Archery Men's Au Cordon Dore, 33 metres",2,"Victor Thibault"
1900,"Archery Men's Au Cordon Dore, 33 metres",3,"Frdric Adolphe Petit"
1900,"Archery Men's Au Cordon Dore, 50 metres",4,"Henri Hyacinthe Helle"
1900,"Archery Men's Au Cordon Dore, 50 metres",2,"Gerard Theodor Hubert Van Innis"
1900,"Archery Men's Au Cordon Dore, 50 metres",3,"mile Lon Fisseux"
1900,"Archery Men's Au Cordon Dore, 50 metres",1,"Henri Louis Hrouin, Sr."
1900,"Archery Men's Championnat Du Monde",1,"Henri Louis Hrouin, Sr."
1900,"Archery Men's Championnat Du Monde",2,"Gerard Theodor Hubert Van Innis"
1900,"Archery Men's Sur La Perche a La Herse",1,"Emmanuel Foulon"
1900,"Archery Men's Sur La Perche a La Herse",2,"Auguste Serrurier"
1900,"Archery Men's Sur La Perche a La Pyramide",1,"mile Grumiaux"
1900,"Archery Men's Sur La Perche a La Pyramide",3,"Louis Edouard Albert Glineur"
1900,"Archery Men's Sur La Perche a La Pyramide",2,"Auguste Serrurier"
1900,"Archery Men's Unknown Event",4,"Johannes van Gastel"
1900,"Archery Men's Unknown Event",4,"Henricus Mansvelt"
1900,"Archery Men's Unknown Event",4,"Johannes Franciscus Stovers"
1900,"Archery Men's Unknown Event",4,"Petrus Johannes Nouwens"
1900,"Archery Men's Unknown Event",4,"Josephus Heerkens"
1900,"Archery Men's Unknown Event",4,"Franciscus Hexspoor"
1900,"Athletics Men's 1,500 metres",4,"Louis Segondi"
1900,"Athletics Men's 1,500 metres",1,"Charles Bennett"
1900,"Athletics Men's 1,500 metres",4,"David Connolly "Dave"" Hall""
1900,"Athletics Men's 1,500 metres",4,"Ondej Pukl"
1900,"Athletics Men's 1,500 metres",4,"Christian August Christensen"
1900,"Athletics Men's 1,500 metres",4,"Hermann Wraschtil"
1900,"Athletics Men's 1,500 metres",2,"Henry Lon mile Deloge"
1900,"Athletics Men's 1,500 metres",4,"John Thomas "Jack"" Rimmer""
1900,"Athletics Men's 1,500 metres",3,"John Bray"
1900,"Athletics Men's 100 metres",4,"Clark Moses Leiblee"
1900,"Athletics Men's 100 metres",2,"Walter Beardsley Tewksbury"
1900,"Athletics Men's 100 metres",4,"Johannes Gandil"
1900,"Athletics Men's 100 metres",4,"Dixon H. Boardman"
1900,"Athletics Men's 100 metres",3,"Stanley Rupert "Stan"" Rowley""
1900,"Athletics Men's 100 metres",4,"Arthur Francis Duffey"
1900,"Athletics Men's 100 metres",4,"Johan Isaac Westergren"
1900,"Athletics Men's 100 metres",4,"Edmund Joseph Minahan"
1900,"Athletics Men's 100 metres",4,"Kurt Wilhelm Doerry"
1900,"Athletics Men's 100 metres",4,"Norman Gilbert Pritchard (-Trevor)"
1900,"Athletics Men's 100 metres",4,"Julius Keyl"
1900,"Athletics Men's 100 metres",4,"Frederick Graham "Fred"" Moloney""
1900,"Athletics Men's 100 metres",4,"Pl Koppn"
1900,"Athletics Men's 100 metres",4,"Ern Schubert"
1900,"Athletics Men's 100 metres",4,"Thaddeus Brew McClain"
1900,"Athletics Men's 100 metres",1,"Frank Washington Jarvis"
1900,"Athletics Men's 100 metres",4,"Henry Berry Slack"
1900,"Athletics Men's 100 metres",4,"Charles Lindsay Burroughs"
1900,"Athletics Men's 110 metres Hurdles",4,"William Fraser Lewis"
1900,"Athletics Men's 110 metres Hurdles",4,"Norman Gilbert Pritchard (-Trevor)"
1900,"Athletics Men's 110 metres Hurdles",4,"William Procter Remington"
1900,"Athletics Men's 110 metres Hurdles",1,"Alvin Christian "Al"" Kraenzlein""
1900,"Athletics Men's 110 metres Hurdles",3,"Frederick Graham "Fred"" Moloney""
1900,"Athletics Men's 110 metres Hurdles",2,"John Frederick McLean"
1900,"Athletics Men's 110 metres Hurdles",4,"Adolphe Christiano Klingelhoeffer"
1900,"Athletics Men's 2,500 metres Steeplechase",1,"George Washington F. Orton"
1900,"Athletics Men's 2,500 metres Steeplechase",4,"Hermann Wraschtil"
1900,"Athletics Men's 2,500 metres Steeplechase",2,"Sidney John Robinson"
1900,"Athletics Men's 2,500 metres Steeplechase",4,"Francis Johann Wilhelm "Franz"" Duhne""
1900,"Athletics Men's 2,500 metres Steeplechase",3,"Jean Chastani"
1900,"Athletics Men's 2,500 metres Steeplechase",4,"Arthur Lewis Newton"
1900,"Athletics Men's 200 metres",4,"Adolphe Christiano Klingelhoeffer"
1900,"Athletics Men's 200 metres",3,"Stanley Rupert "Stan"" Rowley""
1900,"Athletics Men's 200 metres",4,"Albert Karl Werkmller"
1900,"Athletics Men's 200 metres",4,"Ern Schubert"
1900,"Athletics Men's 200 metres",4,"Yngvar Bryn"
1900,"Athletics Men's 200 metres",2,"Norman Gilbert Pritchard (-Trevor)"
1900,"Athletics Men's 200 metres",1,"Walter Beardsley Tewksbury"
1900,"Athletics Men's 200 metres",4,"William Joseph "Bill"" Holland""
1900,"Athletics Men's 200 metres Hurdles",4,"Thaddeus Brew McClain"
1900,"Athletics Men's 200 metres Hurdles",4,"Frederick Graham "Fred"" Moloney""
1900,"Athletics Men's 200 metres Hurdles",1,"Alvin Christian "Al"" Kraenzlein""
1900,"Athletics Men's 200 metres Hurdles",4,"Henri Alexis Tauzin"
1900,"Athletics Men's 200 metres Hurdles",3,"Walter Beardsley Tewksbury"
1900,"Athletics Men's 200 metres Hurdles",4,"Zoltn Speidl"
1900,"Athletics Men's 200 metres Hurdles",4,"William Procter Remington"
1900,"Athletics Men's 200 metres Hurdles",4,"Gustav Adolf Friedrich Gottfried Rau"
1900,"Athletics Men's 200 metres Hurdles",2,"Norman Gilbert Pritchard (-Trevor)"
1900,"Athletics Men's 200 metres Hurdles",4,"William Fraser Lewis"
1900,"Athletics Men's 4,000 metres Steeplechase",2,"Charles Bennett"
1900,"Athletics Men's 4,000 metres Steeplechase",3,"Sidney John Robinson"
1900,"Athletics Men's 4,000 metres Steeplechase",1,"John Thomas "Jack"" Rimmer""
1900,"Athletics Men's 4,000 metres Steeplechase",4,"Francis Johann Wilhelm "Franz"" Duhne""
1900,"Athletics Men's 4,000 metres Steeplechase",4,"Jean Chastani"
1900,"Athletics Men's 4,000 metres Steeplechase",4,"George Washington F. Orton"
1900,"Athletics Men's 4,000 metres Steeplechase",4,"Thaddeus Brew McClain"
1900,"Athletics Men's 400 metres",4,"Henry Berry Slack"
1900,"Athletics Men's 400 metres",4,"Harvey Hurd Lord"
1900,"Athletics Men's 400 metres",1,"Maxwell Warburn "Maxey"" Long""
1900,"Athletics Men's 400 metres",4,"Pl Koppn"
1900,"Athletics Men's 400 metres",3,"Ernst Ludwig Emanuel Schultz"
1900,"Athletics Men's 400 metres",4,"Dixon H. Boardman"
1900,"Athletics Men's 400 metres",4,"William Arthur Moloney"
1900,"Athletics Men's 400 metres",4,"Harry Glover Lee"
1900,"Athletics Men's 400 metres",4,"Walter Edwin Drumheller"
1900,"Athletics Men's 400 metres",4,"Zoltn Speidl"
1900,"Athletics Men's 400 metres",4,"Yngvar Bryn"
1900,"Athletics Men's 400 metres",2,"William Joseph "Bill"" Holland""
1900,"Athletics Men's 400 metres Hurdles",3,"George Washington F. Orton"
1900,"Athletics Men's 400 metres Hurdles",1,"Walter Beardsley Tewksbury"
1900,"Athletics Men's 400 metres Hurdles",4,"William Fraser Lewis"
1900,"Athletics Men's 400 metres Hurdles",2,"Henri Alexis Tauzin"
1900,"Athletics Men's 5,000 metres, Team",2,"Adolphe Gaston Ragueneau"
1900,"Athletics Men's 5,000 metres, Team",1,"Alfred Ernest Tysoe"
1900,"Athletics Men's 5,000 metres, Team",1,"John Thomas "Jack"" Rimmer""
1900,"Athletics Men's 5,000 metres, Team",1,"Charles Bennett"
1900,"Athletics Men's 5,000 metres, Team",2,"Henry Lon mile Deloge"
1900,"Athletics Men's 5,000 metres, Team",2,"Jean Chastani"
1900,"Athletics Men's 5,000 metres, Team",1,"Stanley Rupert "Stan"" Rowley""
1900,"Athletics Men's 5,000 metres, Team",1,"Sidney John Robinson"
1900,"Athletics Men's 5,000 metres, Team",2,"Albert Alphonse Champoudry"
1900,"Athletics Men's 60 metres",4,"Ern Schubert"
1900,"Athletics Men's 60 metres",4,"William Joseph "Bill"" Holland""
1900,"Athletics Men's 60 metres",1,"Alvin Christian "Al"" Kraenzlein""
1900,"Athletics Men's 60 metres",4,"Edmund Joseph Minahan"
1900,"Athletics Men's 60 metres",3,"Stanley Rupert "Stan"" Rowley""
1900,"Athletics Men's 60 metres",4,"Johan Isaac Westergren"
1900,"Athletics Men's 60 metres",4,"Pl Koppn"
1900,"Athletics Men's 60 metres",4,"Norman Gilbert Pritchard (-Trevor)"
1900,"Athletics Men's 60 metres",2,"Walter Beardsley Tewksbury"
1900,"Athletics Men's 60 metres",4,"Adolphe Christiano Klingelhoeffer"
1900,"Athletics Men's 800 metres",4,"Zoltn Speidl"
1900,"Athletics Men's 800 metres",4,"John Bray"
1900,"Athletics Men's 800 metres",4,"Henry Lon mile Deloge"
1900,"Athletics Men's 800 metres",4,"Harrison Preserved Smith"
1900,"Athletics Men's 800 metres",3,"David Connolly "Dave"" Hall""
1900,"Athletics Men's 800 metres",4,"Christian August Christensen"
1900,"Athletics Men's 800 metres",4,"Howard Wood Hayes"
1900,"Athletics Men's 800 metres",4,"Ondej Pukl"
1900,"Athletics Men's 800 metres",4,"Walter Edwin Drumheller"
1900,"Athletics Men's 800 metres",4,"Edward Anthony Mechling"
1900,"Athletics Men's 800 metres",4,"Edward Rogers Bushnell"
1900,"Athletics Men's 800 metres",1,"Alfred Ernest Tysoe"
1900,"Athletics Men's 800 metres",4,"Maurice Gustave Fernand Salomez"
1900,"Athletics Men's 800 metres",4,"Justus Moak Scrafford"
1900,"Athletics Men's 800 metres",4,"Harvey Hurd Lord"
1900,"Athletics Men's 800 metres",2,"John Francis Cregan"
1900,"Athletics Men's Discus Throw",4,"Robert "Bob"" Garrett""
1900,"Athletics Men's Discus Throw",2,"Frantiek Janda-Suk"
1900,"Athletics Men's Discus Throw",4,"Charles Gustav Wilhelm Winckler"
1900,"Athletics Men's Discus Throw",4,"John Joseph Flanagan"
1900,"Athletics Men's Discus Throw",1,"Rudolf (-Rezs) Bauer"
1900,"Athletics Men's Discus Throw",4,"Launceston Elliot"
1900,"Athletics Men's Discus Throw",3,"Richard "Dick"" Sheldon""
1900,"Athletics Men's Discus Throw",4,"Artr Coray"
1900,"Athletics Men's Discus Throw",4,"Eric Otto Valdemar Lemming"
